agency,site,date_time,flow,comments
USGS,barnum,2019-06-10T04:00:00Z,707,
USGS,barnum,2019-06-11T04:00:00Z,814,
USGS,barnum,2019-06-12T04:00:00Z,503,
USGS,barnum,2019-06-13T04:00:00Z,367,
USGS,barnum,2019-06-14T04:00:00Z,358,
USGS,barnum,2019-06-15T04:00:00Z,358,
USGS,barnum,2019-06-16T04:00:00Z,358,
USGS,barnum,2019-06-17T04:00:00Z,359,
USGS,barnum,2019-06-18T04:00:00Z,354,
USGS,barnum,2019-06-19T04:00:00Z,352,
USGS,barnum,2019-06-20T04:00:00Z,355,
USGS,barnum,2019-06-21T04:00:00Z,356,
USGS,barnum,2019-06-22T04:00:00Z,356,
USGS,barnum,2019-06-23T04:00:00Z,342,
USGS,barnum,2019-06-24T04:00:00Z,331,
USGS,barnum,2019-06-25T04:00:00Z,331,
USGS,barnum,2019-06-26T04:00:00Z,330,
USGS,barnum,2019-06-27T04:00:00Z,321,
USGS,barnum,2019-06-28T04:00:00Z,307,
USGS,barnum,2019-06-29T04:00:00Z,309,
USGS,barnum,2019-06-30T04:00:00Z,2150,
USGS,barnum,2019-07-01T04:00:00Z,2740,
USGS,barnum,2019-07-02T04:00:00Z,1720,
USGS,kitzmiller,2019-06-01T04:00:00Z,262,
USGS,kitzmiller,2019-06-02T04:00:00Z,790,
USGS,kitzmiller,2019-06-03T04:00:00Z,807,
USGS,kitzmiller,2019-06-04T04:00:00Z,423,
USGS,kitzmiller,2019-06-05T04:00:00Z,355,
USGS,kitzmiller,2019-06-06T04:00:00Z,656,
USGS,kitzmiller,2019-06-07T04:00:00Z,426,
USGS,kitzmiller,2019-06-08T04:00:00Z,349,
USGS,kitzmiller,2019-06-09T04:00:00Z,309,
USGS,kitzmiller,2019-06-10T04:00:00Z,498,
USGS,kitzmiller,2019-06-11T04:00:00Z,733,
USGS,kitzmiller,2019-06-12T04:00:00Z,422,
USGS,kitzmiller,2019-06-13T04:00:00Z,431,
USGS,kitzmiller,2019-06-14T04:00:00Z,621,
USGS,kitzmiller,2019-06-15T04:00:00Z,506,
USGS,kitzmiller,2019-06-16T04:00:00Z,412,
USGS,kitzmiller,2019-06-17T04:00:00Z,420,
USGS,kitzmiller,2019-06-18T04:00:00Z,392,
USGS,kitzmiller,2019-06-19T04:00:00Z,362,
USGS,kitzmiller,2019-06-20T04:00:00Z,293,
USGS,kitzmiller,2019-06-21T04:00:00Z,442,
USGS,kitzmiller,2019-06-22T04:00:00Z,365,
USGS,kitzmiller,2019-06-23T04:00:00Z,272,
USGS,kitzmiller,2019-06-24T04:00:00Z,263,
USGS,kitzmiller,2019-06-25T04:00:00Z,467,
USGS,kitzmiller,2019-06-26T04:00:00Z,289,
USGS,kitzmiller,2019-06-27T04:00:00Z,231,
USGS,kitzmiller,2019-06-28T04:00:00Z,203,
USGS,kitzmiller,2019-06-29T04:00:00Z,172,
USGS,kitzmiller,2019-06-30T04:00:00Z,5640,
USGS,kitzmiller,2019-07-01T04:00:00Z,1180,
USGS,kitzmiller,2019-07-02T04:00:00Z,834,
USGS,luke,2019-06-01T04:00:00Z,875,
USGS,luke,2019-06-02T04:00:00Z,593,
USGS,luke,2019-06-03T04:00:00Z,577,
USGS,luke,2019-06-04T04:00:00Z,533,
USGS,luke,2019-06-05T04:00:00Z,781,
USGS,luke,2019-06-06T04:00:00Z,925,
USGS,luke,2019-06-07T04:00:00Z,697,
USGS,luke,2019-06-08T04:00:00Z,535,
USGS,luke,2019-06-09T04:00:00Z,539,
USGS,luke,2019-06-10T04:00:00Z,810,
USGS,luke,2019-06-11T04:00:00Z,935,
USGS,luke,2019-06-12T04:00:00Z,651,
USGS,luke,2019-06-13T04:00:00Z,490,
USGS,luke,2019-06-14T04:00:00Z,473,
USGS,luke,2019-06-15T04:00:00Z,467,
USGS,luke,2019-06-16T04:00:00Z,466,
USGS,luke,2019-06-17T04:00:00Z,475,
USGS,luke,2019-06-18T04:00:00Z,469,
